epoch;train_loss;train_acc;val_loss;val_acc
90;0.6484895348548889;tensor(0.7950, dtype=torch.float64);0.6742761135101318;tensor(0.7273, dtype=torch.float64)
91;0.6503179669380188;tensor(0.8200, dtype=torch.float64);0.6736317873001099;tensor(0.7273, dtype=torch.float64)
92;0.6472431421279907;tensor(0.8050, dtype=torch.float64);0.6729912161827087;tensor(0.7273, dtype=torch.float64)
93;0.6462426781654358;tensor(0.8300, dtype=torch.float64);0.6723790764808655;tensor(0.7273, dtype=torch.float64)
94;0.643710732460022;tensor(0.8150, dtype=torch.float64);0.6719775199890137;tensor(0.5909, dtype=torch.float64)
95;0.6423999667167664;tensor(0.7950, dtype=torch.float64);0.6713728308677673;tensor(0.5909, dtype=torch.float64)
96;0.6469343304634094;tensor(0.7700, dtype=torch.float64);0.6707193851470947;tensor(0.5909, dtype=torch.float64)
97;0.6402900218963623;tensor(0.8100, dtype=torch.float64);0.6698523759841919;tensor(0.6364, dtype=torch.float64)
98;0.6362266540527344;tensor(0.8250, dtype=torch.float64);0.6689260005950928;tensor(0.6818, dtype=torch.float64)
99;0.6362287402153015;tensor(0.8000, dtype=torch.float64);0.6680794358253479;tensor(0.7273, dtype=torch.float64)
100;0.6368616819381714;tensor(0.8050, dtype=torch.float64);0.6674452424049377;tensor(0.7273, dtype=torch.float64)
101;0.6311953067779541;tensor(0.8200, dtype=torch.float64);0.6669941544532776;tensor(0.6364, dtype=torch.float64)
102;0.641628086566925;tensor(0.7800, dtype=torch.float64);0.6664483547210693;tensor(0.6364, dtype=torch.float64)
103;0.6294568777084351;tensor(0.8050, dtype=torch.float64);0.6659613847732544;tensor(0.6364, dtype=torch.float64)
104;0.6381869316101074;tensor(0.7750, dtype=torch.float64);0.6653015613555908;tensor(0.6364, dtype=torch.float64)
105;0.6286150813102722;tensor(0.8100, dtype=torch.float64);0.6646387577056885;tensor(0.6364, dtype=torch.float64)
106;0.6215802431106567;tensor(0.7850, dtype=torch.float64);0.6639030575752258;tensor(0.7273, dtype=torch.float64)
107;0.6198375821113586;tensor(0.8100, dtype=torch.float64);0.6631879806518555;tensor(0.7273, dtype=torch.float64)
108;0.6313164234161377;tensor(0.8050, dtype=torch.float64);0.6626233458518982;tensor(0.7273, dtype=torch.float64)
109;0.6185879111289978;tensor(0.8600, dtype=torch.float64);0.6626096367835999;tensor(0.5909, dtype=torch.float64)
110;0.6099836826324463;tensor(0.8150, dtype=torch.float64);0.6631761193275452;tensor(0.6364, dtype=torch.float64)
111;0.6143129467964172;tensor(0.7750, dtype=torch.float64);0.6624084115028381;tensor(0.6364, dtype=torch.float64)
112;0.613898515701294;tensor(0.7850, dtype=torch.float64);0.6603782176971436;tensor(0.6364, dtype=torch.float64)
113;0.6087828874588013;tensor(0.8150, dtype=torch.float64);0.6589772701263428;tensor(0.6818, dtype=torch.float64)
114;0.6182804703712463;tensor(0.7950, dtype=torch.float64);0.6583232879638672;tensor(0.6818, dtype=torch.float64)
115;0.6106962561607361;tensor(0.8350, dtype=torch.float64);0.6577261686325073;tensor(0.7273, dtype=torch.float64)
116;0.6220746636390686;tensor(0.8050, dtype=torch.float64);0.6577902436256409;tensor(0.6818, dtype=torch.float64)
117;0.6150618195533752;tensor(0.7800, dtype=torch.float64);0.6581955552101135;tensor(0.5909, dtype=torch.float64)
118;0.6016960740089417;tensor(0.7850, dtype=torch.float64);0.6570025086402893;tensor(0.6364, dtype=torch.float64)
119;0.5994333028793335;tensor(0.8050, dtype=torch.float64);0.6551521420478821;tensor(0.7727, dtype=torch.float64)
120;0.6128461360931396;tensor(0.8000, dtype=torch.float64);0.6539983153343201;tensor(0.6818, dtype=torch.float64)
121;0.5893489122390747;tensor(0.8400, dtype=torch.float64);0.6533116698265076;tensor(0.6818, dtype=torch.float64)
122;0.6048077344894409;tensor(0.8250, dtype=torch.float64);0.6527816653251648;tensor(0.7273, dtype=torch.float64)
123;0.6011400818824768;tensor(0.8350, dtype=torch.float64);0.653837263584137;tensor(0.6364, dtype=torch.float64)
124;0.5985462069511414;tensor(0.8150, dtype=torch.float64);0.6558394432067871;tensor(0.6364, dtype=torch.float64)
125;0.5999087691307068;tensor(0.7900, dtype=torch.float64);0.6557323336601257;tensor(0.6364, dtype=torch.float64)
126;0.6053032279014587;tensor(0.7500, dtype=torch.float64);0.6518457531929016;tensor(0.6364, dtype=torch.float64)
127;0.5998428463935852;tensor(0.8000, dtype=torch.float64);0.649620771408081;tensor(0.7273, dtype=torch.float64)
128;0.5840182304382324;tensor(0.8300, dtype=torch.float64);0.6492868065834045;tensor(0.6818, dtype=torch.float64)
129;0.586515486240387;tensor(0.8250, dtype=torch.float64);0.648324728012085;tensor(0.6818, dtype=torch.float64)
130;0.5891017913818359;tensor(0.8450, dtype=torch.float64);0.6496548056602478;tensor(0.6364, dtype=torch.float64)
131;0.5980588793754578;tensor(0.7800, dtype=torch.float64);0.653003990650177;tensor(0.6364, dtype=torch.float64)
132;0.5825409889221191;tensor(0.7750, dtype=torch.float64);0.6506891846656799;tensor(0.5909, dtype=torch.float64)
133;0.58299720287323;tensor(0.8050, dtype=torch.float64);0.6465315222740173;tensor(0.7273, dtype=torch.float64)
134;0.6007253527641296;tensor(0.8000, dtype=torch.float64);0.6451539397239685;tensor(0.6818, dtype=torch.float64)
135;0.5888882279396057;tensor(0.8150, dtype=torch.float64);0.6446545124053955;tensor(0.6818, dtype=torch.float64)
136;0.5844568014144897;tensor(0.8200, dtype=torch.float64);0.6441748142242432;tensor(0.6818, dtype=torch.float64)
137;0.5789366960525513;tensor(0.8200, dtype=torch.float64);0.6458382606506348;tensor(0.7273, dtype=torch.float64)
138;0.5809118747711182;tensor(0.8350, dtype=torch.float64);0.6489061713218689;tensor(0.5909, dtype=torch.float64)
139;0.5768172740936279;tensor(0.7950, dtype=torch.float64);0.6464762091636658;tensor(0.6364, dtype=torch.float64)
140;0.5751550793647766;tensor(0.8200, dtype=torch.float64);0.6435347199440002;tensor(0.7273, dtype=torch.float64)
141;0.5804381966590881;tensor(0.8150, dtype=torch.float64);0.6423230767250061;tensor(0.6818, dtype=torch.float64)
142;0.5800466537475586;tensor(0.8350, dtype=torch.float64);0.642085611820221;tensor(0.7273, dtype=torch.float64)
143;0.5707429647445679;tensor(0.8450, dtype=torch.float64);0.6430463790893555;tensor(0.7273, dtype=torch.float64)
144;0.5633188486099243;tensor(0.8500, dtype=torch.float64);0.6454002857208252;tensor(0.5909, dtype=torch.float64)
145;0.5762956738471985;tensor(0.8250, dtype=torch.float64);0.6458070278167725;tensor(0.5909, dtype=torch.float64)
146;0.5616937875747681;tensor(0.8450, dtype=torch.float64);0.6417569518089294;tensor(0.7727, dtype=torch.float64)
147;0.5666725039482117;tensor(0.8550, dtype=torch.float64);0.6396725177764893;tensor(0.7273, dtype=torch.float64)
148;0.5690787434577942;tensor(0.8500, dtype=torch.float64);0.6391018629074097;tensor(0.6818, dtype=torch.float64)
149;0.560678243637085;tensor(0.8450, dtype=torch.float64);0.6392155885696411;tensor(0.7273, dtype=torch.float64)
150;0.5764557123184204;tensor(0.8250, dtype=torch.float64);0.6406461000442505;tensor(0.6364, dtype=torch.float64)
151;0.5673871636390686;tensor(0.8400, dtype=torch.float64);0.6408666372299194;tensor(0.6364, dtype=torch.float64)
